id,parcel_id,owner
40229,30212935780314000,[]
40230,30212935780315000,[]
40231,30212935780316000,[]
40232,30212935780317000,[]
40233,30212935780318000,[]
40234,30212935780319000,[]
40235,30212935791005100,[]
40236,30212935780101000,[]
40237,30212921370609000,[]
40238,30212993620122000,[]
40239,30212995700204000,[]
40240,30212921370610000,[]
40241,30212935780406000,[]
40242,30212935790509000,[]
40243,30212935790409000,[]
40244,30212995700205000,[]
40245,30212935780408000,[]
40246,30212935790502000,[]
40247,30212935790416000,[]
40248,30212921370404000,[]
40249,30212921370403000,[]
40250,30212921370402000,[]
40251,30212921370401000,[]
40252,30212995700602100,[]
40253,30212995700601200,[]
40254,30212995700601100,[]
40255,30212935780405000,[]
40256,30212935791007000,[]
40257,30212935790510000,[]
40258,30212935780404000,[]
40259,30212935780402000,[]
40260,30212935780401000,[]
40261,30212921320201000,[]
40262,30212921320202000,[]
40263,30212921320203000,[]
40264,30212935790408000,[]
40265,30212921320101000,[]
40266,30212900000005000,[]
40267,30212921370611000,[]
40268,30212935790511000,[]
40269,30212935790515000,[]
40270,30212935790513000,[]
40271,30212935790512000,[]
40272,30212935790407000,[]
40273,30212935790406000,[]
40274,30212935790405000,[]
40275,30212935790404000,[]
40276,30212935790402100,[]
40277,30212935790401000,[]
40278,30212935780501000,[]
40279,30212995700206000,[]
40280,30212935790501000,[]
40281,30212935790417000,[]
40282,30212935790516000,[]
40283,30212935780409000,[]
40284,30212921370612000,[]
40285,30212921320102000,[]
40286,30212921370405000,[]
40287,30212921370406000,[]
40288,30212921370407000,[]
40289,30212921370408000,[]
40290,30212995700604100,[]
40291,30212921330802000,[]
40292,30212921330801000,[]
40293,30212935791008000,[]
40294,30212921330708000,[]
40295,30212921320206000,[]
40296,30212921320205000,[]
40297,30212921320204000,[]
40298,30212921321006000,[]
40299,30212921321005000,[]
40300,30212921321004000,[]
40301,30212921321003000,[]
40302,30212921321002000,[]
40303,30212921321001000,[]
40304,30212921320911000,[]
40305,30212921320910000,[]
40306,30212921320909000,[]
40307,30212921320908000,[]
